Time,PV,OUT
2025-03-03 17:31:08,34.55,5.0
2025-03-03 17:31:10,34.58,5.0
2025-03-03 17:31:18,34.69,5.0
2025-03-03 17:31:22,34.72,5.0
2025-03-03 17:31:32,34.79,5.0
2025-03-03 17:31:34,34.8,5.0
2025-03-03 17:31:44,34.87,5.0
2025-03-03 17:31:46,34.89,5.0
2025-03-03 17:31:56,34.96,5.0
2025-03-03 17:32:00,34.99,5.0
2025-03-03 17:32:04,35.02,5.0
2025-03-03 17:32:10,35.04,5.0
2025-03-03 17:32:18,35.06,5.0
2025-03-03 17:32:22,35.07,5.0
2025-03-03 17:32:32,35.04,5.0
2025-03-03 17:32:34,35.02,5.0
2025-03-03 17:32:44,34.99,5.0
2025-03-03 17:32:48,35.01,5.0
2025-03-03 17:32:50,35.02,5.0
2025-03-03 17:33:02,34.99,5.0
2025-03-03 17:33:08,34.98,5.0
2025-03-03 17:33:12,34.95,5.0
2025-03-03 17:33:20,34.9,5.0
2025-03-03 17:33:22,34.89,5.0
2025-03-03 17:33:30,34.81,5.0
2025-03-03 17:33:34,34.79,5.0
2025-03-03 17:33:44,34.7,5.0
2025-03-03 17:33:46,34.68,5.0
2025-03-03 17:33:56,34.59,5.0
2025-03-03 17:33:58,34.57,5.0
2025-03-03 17:34:08,34.52,5.0
2025-03-03 17:34:12,34.5,5.0
2025-03-03 17:34:20,34.34,5.0
2025-03-03 17:34:22,34.26,5.0
2025-03-03 17:34:32,33.94,5.0
2025-03-03 17:34:34,33.88,5.0
2025-03-03 17:34:44,33.74,5.0
2025-03-03 17:34:56,33.76,5.0
2025-03-03 17:34:58,33.78,5.0
2025-03-03 17:35:00,33.79,5.0
2025-03-03 17:35:08,33.83,5.0
2025-03-03 17:35:20,33.81,5.0
2025-03-03 17:35:24,33.8,5.0
2025-03-03 17:35:40,33.79,5.0
2025-03-03 17:35:46,33.77,5.0
2025-03-03 17:35:50,33.74,5.0
2025-03-03 17:35:58,33.69,5.0
2025-03-03 17:36:00,33.67,5.0
2025-03-03 17:36:10,33.55,5.0
2025-03-03 17:36:12,33.51,5.0
2025-03-03 17:36:22,33.32,5.0
2025-03-03 17:36:24,33.29,5.0
2025-03-03 17:36:34,33.1,5.0
2025-03-03 17:36:36,33.06,5.0
2025-03-03 17:36:46,32.75,5.0
2025-03-03 17:36:48,32.64,5.0
2025-03-03 17:36:58,32.23,5.0
2025-03-03 17:37:00,32.16,5.0
2025-03-03 17:37:10,31.82,5.0
2025-03-03 17:37:12,31.75,5.0
2025-03-03 17:37:22,31.47,5.0
2025-03-03 17:37:24,31.43,5.0
2025-03-03 17:37:30,,20.0
2025-03-03 17:37:34,31.13,40.0
2025-03-03 17:37:36,31.08,40.0
2025-03-03 17:37:46,30.8,40.0
2025-03-03 17:37:48,30.75,40.0
2025-03-03 17:37:58,30.47,40.0
2025-03-03 17:38:00,30.42,40.0
2025-03-03 17:38:10,29.91,40.0
2025-03-03 17:38:12,29.82,40.0
2025-03-03 17:38:22,29.16,40.0
2025-03-03 17:38:24,29.02,40.0
2025-03-03 17:38:34,28.24,40.0
2025-03-03 17:38:36,28.08,40.0
2025-03-03 17:38:46,27.27,40.0
2025-03-03 17:38:48,27.11,40.0
2025-03-03 17:38:58,26.25,40.0
2025-03-03 17:39:00,26.07,40.0
2025-03-03 17:39:12,24.95,40.0
2025-03-03 17:39:14,24.75,40.0
2025-03-03 17:39:24,23.63,40.0
2025-03-03 17:39:26,23.38,40.0
2025-03-03 17:39:36,22.24,40.0
2025-03-03 17:39:38,22.02,40.0
2025-03-03 17:39:48,20.86,40.0
2025-03-03 17:39:50,20.64,40.0
2025-03-03 17:40:00,19.67,40.0
2025-03-03 17:40:02,19.47,40.0
2025-03-03 17:40:07,,50.0
2025-03-03 17:40:09,,55.0
2025-03-03 17:40:11,18.69,55.0
2025-03-03 17:40:13,18.6,55.0
2025-03-03 17:40:19,,70.0
2025-03-03 17:40:21,,75.0
2025-03-03 17:40:23,18.1,75.0
2025-03-03 17:40:25,18.01,75.0
2025-03-03 17:40:35,17.45,75.0
2025-03-03 17:40:37,17.34,75.0
2025-03-03 17:40:47,16.84,75.0
2025-03-03 17:40:49,16.74,75.0
2025-03-03 17:40:59,16.35,75.0
2025-03-03 17:41:01,16.28,75.0
2025-03-03 17:41:09,16.14,75.0
2025-03-03 17:41:13,16.15,75.0
2025-03-03 17:41:19,16.17,75.0
2025-03-03 17:41:25,16.19,75.0
2025-03-03 17:41:35,16.44,75.0
2025-03-03 17:41:37,16.51,75.0
2025-03-03 17:41:47,16.9,75.0
2025-03-03 17:41:49,17.0,75.0
2025-03-03 17:41:59,17.56,75.0
2025-03-03 17:42:01,17.68,75.0
2025-03-03 17:42:11,18.37,75.0
2025-03-03 17:42:13,18.51,65.0
2025-03-03 17:42:17,,45.0
2025-03-03 17:42:23,19.19,45.0
2025-03-03 17:42:25,19.27,45.0
2025-03-03 17:42:35,19.62,45.0
2025-03-03 17:42:37,19.69,45.0
2025-03-03 17:42:47,19.98,45.0
2025-03-03 17:42:49,20.02,45.0
2025-03-03 17:42:59,20.27,45.0
2025-03-03 17:43:01,20.33,45.0
2025-03-03 17:43:11,20.62,45.0
2025-03-03 17:43:13,20.68,45.0
2025-03-03 17:43:25,20.98,45.0
2025-03-03 17:43:27,21.04,45.0
2025-03-03 17:43:37,21.29,45.0
2025-03-03 17:43:39,21.34,45.0
2025-03-03 17:43:49,21.63,45.0
2025-03-03 17:43:51,21.69,45.0
2025-03-03 17:44:01,21.93,45.0
2025-03-03 17:44:03,21.98,45.0
2025-03-03 17:44:13,22.21,45.0
2025-03-03 17:44:15,22.27,45.0
2025-03-03 17:44:25,22.53,45.0
2025-03-03 17:44:27,22.59,45.0
2025-03-03 17:44:37,22.87,45.0
2025-03-03 17:44:39,22.93,45.0
2025-03-03 17:44:49,23.18,45.0
2025-03-03 17:44:51,23.24,45.0
2025-03-03 17:45:01,23.49,45.0
2025-03-03 17:45:03,23.55,45.0
2025-03-03 17:45:13,23.8,45.0
2025-03-03 17:45:15,23.85,45.0
2025-03-03 17:45:25,24.13,45.0
2025-03-03 17:45:27,24.17,45.0
2025-03-03 17:45:37,24.44,45.0
2025-03-03 17:45:39,24.48,45.0
2025-03-03 17:45:49,24.75,45.0
2025-03-03 17:45:51,24.79,45.0
2025-03-03 17:46:01,25.05,45.0
2025-03-03 17:46:03,25.1,45.0
2025-03-03 17:46:13,25.35,45.0
2025-03-03 17:46:15,25.41,45.0
2025-03-03 17:46:25,25.65,45.0
2025-03-03 17:46:27,25.71,45.0
2025-03-03 17:46:37,25.94,45.0
2025-03-03 17:46:39,25.99,45.0
2025-03-03 17:46:49,26.23,45.0
2025-03-03 17:46:51,26.27,45.0
